"user_id","full_text","retweet_count","favorite_count","concern"
1078322076,"You cannot be denied care if you’re unvaccinated. Call the CPSO and file a complaint if this happens to you. It’s not right and goes against the CPSO’s own policies. https://t.co/mXW8GCBKSa",452,939,"fairness"
1.43e+18,"We were told about the vax benefits for herd immunity once we hit a certain % vaxxed. 

Herd immunity means once enough are vaxxed, the cases go away because vax can't be transmitted.

We're over 80%.

They lied.",210,710,"fairness"
1219579814,"GOP hypocrisy on business rights knows no bounds. If bars want their customers to be vaxxed, how is possibly the govt’s business to stop them? There will be plenty of bars where the unvaxxed can drink together. https://t.co/lZbk0rFMws",124,544,"fairness"
4158021141,"@SacredEd2018 @Zeddary He did not have balls to admit it. He lied in a really weaselly way because he knew how stupid it was to not get vaxxed.
He probably thought he was too smart or tough to get it and would not get found out.
But COVID doesn't give a shit who you are and he got it.",0,210,"fairness"
8.83e+17,"Ardern's duplicitously delivered statement on Friday did not deliver freedom to the vaccinated. Its true purpose was to frame the unvaccinated as scapegoats for policy failures past, present, and future, including promised freedoms unlikely to be realised.

#nzpol #covid19nz https://t.co/rQURqThVDL",39,157,"fairness"
1.26e+18,"Nice paper from Nature providing community-level evidence for approaching herd immunity from the vaccines even with adult vax. For each 20% points of individuals vax'd, positive test fraction for unvaccinated population decreases. This is what we mean 
https://t.co/5nekTRumbJ",25,106,"fairness"
1876626193,"“As a heterosexual male, I would not want to share office space with homosexual colleagues. Absolutely no way”

I rewrote your tweet using the language of prejudice https://t.co/5n6yCC5P6W",64,101,"fairness"
748362288,"Thank a #PublicHealth worker today.

GET VAXXED<U+203C><U+FE0F>

#DemVoice1 #ONEV1 Z21 #FreshVoicesRise #wtpBLUE https://t.co/Tdp5ksQTsl https://t.co/zvY3iHlSGF",74,98,"fairness"
8.75e+17,"<U+0001F1E6><U+0001F1FA> Australia - Perth [Oct. 16, 2021]

Australians stand up for their FREEDOM. Against medical tyranny. Go Aussies! <U+0001F1E6><U+0001F1FA><U+0001F4AA><U+0001F3FB>

#NoVaccineMandates #NoVaccinePassports #NoGreenPass #NonAuPassSanitaire #Manifs16octobre #Perth #Australia #AustraliaHasFallen #Perthprotest #Freedomrally https://t.co/FbsDZJrzgE",40,77,"fairness"
2289423523,"Inconvenient Truth 

Perhaps it’s Time 

#return2science 

. https://t.co/JAq4cG3PkG",49,76,"fairness"
1.3e+18,"Please reach out to those that you care about. We need to come together and support one another now more than ever.

Stay strong and soldier on. https://t.co/kGprkc9gpd",10,25,"loyalty"
240828648,"@KieranKelly77 @CiaraFElizabeth @DonnellyStephen @CMOIreland @HSELive @laoneill111 Correct and right.
And apart from all this, when you consider the fact that 100% of people, vaccinated and unvaccinated have lived normally together in their homes, shopped together in supermarkets and stores, travelled together on public transport, trained together in gym.

<U+0001F914><U+2753>",2,25,"loyalty"
349856685,"This is The Left, and Biden Voters.

You people still think we can ""unite"" and forgive and forget?? https://t.co/ZmiX2Jfl7z",1,19,"loyalty"
1346050812,"@GMcgy1 @FranksBullitts If the vacinnes work, what danger are the vaxxed in?",0,11,"loyalty"
7.43e+17,"I just set up a FB group to boycott any ON business that enforces a VaxxPass on Sep. 22. Ideally you'd be in Ontario and would be reporting these businesses. I'm also looking for allies. Vaxxed or Unvaxxed.  Ontario or not. WE ARE NOW ALL IN THIS TOGETHER! https://t.co/lrMxOMHwuK https://t.co/mMIKyfYxOm",1,9,"loyalty"
2967100787,"@JoeBlystone22 @GovMikeDeWine Yes sir, total common sense. Democrats and Rinos are trying to drag this on and on with the full cooperation of the media #FearPorn hysteria! <U+0001F47F> #BlystoneForGovernor <U+0001F4AA><U+2764><U+FE0F><U+0001F5FD><U+0001F1FA><U+0001F1F8> #MedicalFreedom #Freedom #LawAndOrder #NotAPolitician https://t.co/WEv5n7p8kR",1,6,"loyalty"
20115368,"Much of Utah is such a ""Welcoming Community"" https://t.co/tRRVjajfzL",1,6,"loyalty"
1.28e+18,"@ElectionWiz WORLDWIDE SHUTDOWN 11/3/2021
#FreedomFlu
Please RT

Vaxxed and unvaxxed can stand together for freedom of choice. Let them feel the impact if we don't show up and what it's going to be like if they let us all go. 

This only works if we stand together!

https://t.co/HcLyk3wSZc",4,5,"loyalty"
9.64e+17,"""ethnic cohort"" https://t.co/wCFBuD9bYQ",0,5,"loyalty"
222768222,"#JustSayNo to gene-therapy '#vaccine'... 

Stronger #Together in #UnitedNonCompliance <U+270A>
#NoVaccinePassportsAnywhere #NoVaccineMandates https://t.co/pgC9n5ydtB",1,4,"loyalty"
1.04e+18,"They have a bit of a dilemma don't they. They have to convince the unvaccinated that the jab works, but at the same time convince the vaccinated that it doesn't work so as they keep getting their boosters..",1023,2954,"non_moral"
8.97e+17,"Scott Morrison said today that unvaccinated Australians won’t be able to travel because that would be a risk to themselves.

It’s not the government’s role to determine what level of risk is acceptable for us. 

#auspol #COVID19 #vaccine",239,1632,"non_moral"
760337274,"Delta variant: So these unvaccinated red states are actually getting sick &amp; dying to own the libs? Hey, have it your way.",224,1207,"non_moral"
18831926,"NEED MORE NUANCE—“Vaccines work” against the #DeltaVariant, yes—100% true. But it hides a lot of nuance—while vaccines protect YOU a lot if you get it, it will still allow virus to transmit &amp; affect other susceptible—until hit higher vaxxed herd threshold (~85% for Delta)—Mask!<U+0001F9F5> https://t.co/TMK7ScvfKV",613,1133,"non_moral"
8.75e+17,"<U+0001F1E7><U+0001F1EA> Belgium - Liege (Luik) [October 9, 2021]

Another big protest, Belgians against the Vax passports. 
So many protests, but media stays silent.

#NonAuPassDeLaHonte #NoVaccinePassports #Liege #NoVaccineMandates #NoGreenPass #manifs9octobre #Luik #WaarIsHetNieuws https://t.co/3wgSf9lPDb",526,1107,"non_moral"
4879347977,"Delta is owning Missouri. My 2 oldest sons still won't get vaxxed. <U+0001F644><U+0001F92A><U+0001F92A><U+0001F92A>",138,1103,"non_moral"
1.21e+18,"You can be 'fully' unvaccinated but you can never be 'fully' vaccinated.",234,1060,"non_moral"
9.54e+17,"Most of the world is unvaccinated and susceptible to COVID, so I'm going to continue to make threads to humanize this pandemic. You can easily find the latest threads on #SoulsLostToCovid &amp; #TheySurvivedCovid at https://t.co/wmjm4yrAgv. Thank you! https://t.co/f5qjyxoOOS https://t.co/MLXJYCUoCl",334,953,"non_moral"
18831926,"7) Hence this is why even if vaccinated, we still need to mask. And why CDC needs to recant it’s no mask rule given the rise of the #DeltaVariant https://t.co/QD4nptJoLU",341,794,"non_moral"
18831926,"5) Even Joe Biden is warning about the #DeltaVariant and kids. A presidential speech on the topic means it’s a global priority. https://t.co/Js9ENpTrXq",282,790,"non_moral"
8.46e+17,"Disgusting. Why is this vitriol allowed to stay on this platform? If we said the opposite about the vaxxed I can guarantee we would be suspended by end of day! https://t.co/RtSfUj9ZOd",7,65,"purity"
2911791824,"Absolutely disgusting! https://t.co/GTcJ4hQNY6",7,18,"purity"
2770753891,"Substitute the word ""Jews"" for ""unvaccinated"" &amp; then ask yourself how Jacinda Ardern thinks her policies are OK &amp; bear no resemblance to Third Reich's utterly vile diktats removing Jews of their freedoms &amp; creating 2-tier society. @NoNewNormal21 @KarenH777 @Mark_Pickles https://t.co/I27qHlxAdj",10,15,"purity"
1.24e+18,"@kaki385 The new world order have now hit an immovable awake force.
The awake will never be blackmailed, bribed, bullied, coerced, forced, gaslit, guilt tripped into falling for totalitarian tricks, planetary poisoning, transhumanism agendas, we are on to their depopulation chess game.",6,13,"purity"
29269648,"Disgusting behaviour from Stephen Donnelly. https://t.co/mAr3eaDeoS",2,11,"purity"
2289423523,"Fanfare for the Common Man 

Apartheid is Evil 

Always 

. https://t.co/d4AhMDbDoJ https://t.co/P2hxREwXd3",4,11,"purity"
1.41e+18,"#CrimesAgainstHumanity #DictaduraSanitariaRD #ArrestBillGates #TerrorismoDictatorialdelEstadoRD 
#DictadorSanitarioRD #DictadorRD #Nonosdoblegamos #NoNosCallaran #NoVaccineMandates #NoVaccinePassportsAnywhere #NoVaccinePassports #Genocide #Nuremberg2 #NurembergTrialsForCovid https://t.co/Z3E5Z4rXs7",8,9,"purity"
8.97e+17,"This is disgusting rhetoric. It’s utterly divisive and seeks to dehumanise a group of people so as to justify the atrocious actions taken against them.

#auspol #COVID19 #vaccine https://t.co/xBbhVyWaVU",1,4,"purity"
16481548,"US Cancels Contract With Major Covid Vaccine Manufacturer - https://t.co/d5g9A6fvGZ 
HOLY SHEET! I'm vaxxed. This makes me feel like I did when I finished dinner at a Diner and a roach crawled across the table!<U+0001F621><U+0001F92C> Disgusting and alarming!",3,4,"purity"
1.41e+18,"#CrimesAgainstHumanity #DictaduraSanitariaRD #ArrestBillGates #TerrorismoDictatorialdelEstadoRD 
#DictadorSanitarioRD #DictadorRD #Nonosdoblegamos #NoNosCallaran #NoVaccineMandates #NoAlPaseDeMovilidad  #NoVaccinePassports #DominicanRepublic #corrupt https://t.co/k9rwimzvFK",2,3,"purity"
